#KO	geneTPM	geneNAME
K07130	133.023	kynB; arylformamidase [EC:3.5.1.9]
K07131	85.4097	K07131; uncharacterized protein
K07132	1.96344	MuB; Enterobacteriaceae phage ATP-dependent target DNA activator
K07133	352.438	K07133; uncharacterized protein
K07137	100.626	K07137; uncharacterized protein
K05894	10.7989	OPR; 12-oxophytodienoic acid reductase [EC:1.3.1.42]
K07138	17.671	K07138; uncharacterized protein
K05895	20.1253	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K07139	236.595	K07139; uncharacterized protein
K05896	398.088	scpA; segregation and condensation protein A
K12437	5.89032	pks13; polyketide synthase 13
K09780	54.4855	K09780; uncharacterized protein
K09781	68.7204	K09781; uncharacterized protein
K03700	317.096	recU; recombination protein U
K03701	1783.79	uvrA; excinuclease ABC subunit A
K03702	980.739	uvrB; excinuclease ABC subunit B
K16323	1.96344	yxjA, nupG; purine nucleoside transport protein
K03703	1123.09	uvrC; excinuclease ABC subunit C
K03704	1108.36	cspA; cold shock protein
K03705	329.858	hrcA; heat-inducible transcriptional repressor
K09787	293.044	K09787; uncharacterized protein
K03706	303.842	codY; transcriptional pleiotropic repressor
K09788	127.133	prpF; 2-methylaconitate isomerase [EC:5.3.3.-]
K03707	77.5559	tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
K09789	175.237	bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K03708	323.477	ctsR; transcriptional regulator of stress and heat shock response
K16328	126.151	psuK; pseudouridine kinase [EC:2.7.1.83]
K16329	8.83548	psuG; pseudouridylate synthase [EC:4.2.1.70]
K03709	350.965	troR, sirR, scaR, mntR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K00690	158.548	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K00691	523.257	mapA; maltose phosphorylase [EC:2.4.1.8]
K00692	19.1435	sacB; levansucrase [EC:2.4.1.10]
K00693	78.5376	GYS; glycogen synthase [EC:2.4.1.11]
K00694	154.621	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00697	1.96344	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K18974	10.3081	sul1; dihydropteroate synthase type 1 [EC:2.5.1.15]
K22491	7.85376	litR; MerR family transcriptional regulator, light-induced transcriptional regulator
K17195	29.9425	alsE; D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]
K18976	10.7989	blaOXA-48; beta-lactamase class D OXA-48 [EC:3.5.2.6]
K18979	512.458	queG; epoxyqueuosine reductase [EC:1.17.99.6]
K13766	26.9973	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K07140	6.87204	K07140; uncharacterized protein
K07141	10.7989	mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
K07146	391.216	K07146; UPF0176 protein
K12443	5.89032	ppsD; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D [EC:2.3.1.292]
K07147	134.005	msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
K07149	171.31	K07149; uncharacterized protein
K09790	183.091	K09790; uncharacterized protein
K09791	80.0102	K09791; uncharacterized protein
K03710	589.523	K03710; GntR family transcriptional regulator
K09792	78.5376	K09792; uncharacterized protein
K03711	588.05	fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator
K09793	42.214	K09793; uncharacterized protein
K09794	12.2715	K09794; uncharacterized protein
K03713	280.281	glnR; MerR family transcriptional regulator, glutamine synthetase repressor
K09795	141.859	K09795; uncharacterized protein
K09796	87.3731	pccA; periplasmic copper chaperone A
K03716	11.2898	splB; spore photoproduct lyase [EC:4.1.99.14]
K09797	52.0312	K09797; uncharacterized protein
K09798	128.115	K09798; uncharacterized protein
K09799	16.1984	K09799; uncharacterized protein
K03718	127.133	asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
K03719	241.503	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
K21636	994.483	nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K18986	156.094	ihk; two-component system, OmpR family, sensor kinase Ihk [EC:2.7.13.3]
K18987	128.605	irr; two-component system, OmpR family, response regulator Irr
K15011	19.1435	regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
K08475	8.34462	pgtB; two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB [EC:2.7.13.3]
K13771	58.4124	nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K08476	1.96344	pgtA; two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA
K13774	7.3629	atuB; citronellol/citronellal dehydrogenase
K08478	18.1618	pgtC; phosphoglycerate transport regulatory protein PgtC
K03269	273.9	lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
K07150	231.195	K07150; uncharacterized protein
K07151	39.2688	STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
K07152	151.185	SCO1; protein SCO1
K07153	80.5011	hflD; high frequency lysogenization protein
K07154	107.008	hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
K03720	3.43602	trpR; TrpR family transcriptional regulator, trp operon repressor
K03721	177.201	tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport
K03722	1188.86	dinG; ATP-dependent DNA helicase DinG [EC:5.6.2.3]
K03723	1692.49	mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
K03724	22.5796	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4]
K16345	192.908	xanP; xanthine permease XanP
K03727	6.87204	helY; ATP-dependent RNA helicase HelY [EC:3.6.4.-]
K16347	0	ecnA; entericidin A
K16348	9.8172	ecnB; entericidin B
K21645	8.83548	hypT, qseD; LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
K18991	136.95	mtrA; AraC family transcriptional regulator, activator of mtrCDE
K18992	26.9973	cmeR; TetR/AcrR family transcriptional regulator, cmeABC operon repressor
K02400	251.811	flhA; flagellar biosynthesis protein FlhA
K02401	181.618	flhB; flagellar biosynthesis protein FlhB
K08483	929.689	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K15023	10.3081	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]
K15024	18.6527	K15024; putative phosphotransacetylase [EC:2.3.1.8]
K02404	47.1226	flhF; flagellar biosynthesis protein FlhF
K02405	112.898	fliA, whiG; RNA polymerase sigma factor FliA
K02406	352.928	fliC, hag; flagellin
K02407	286.171	fliD; flagellar hook-associated protein 2
K02408	99.6446	fliE; flagellar hook-basal body complex protein FliE
K02409	161.493	fliF; flagellar M-ring protein FliF
K13787	1.96344	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13788	564.98	pta; phosphate acetyltransferase [EC:2.3.1.8]
K13789	374.526	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K03270	199.289	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03271	306.297	gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K03272	220.887	gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K03273	102.099	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
K03274	346.056	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03279	27.979	waaJ, rfaJ; UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]
K07160	151.676	pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K07164	81.9737	K07164; uncharacterized protein
K07166	296.48	K07166; ACT domain-containing protein
K03731	3.92688	E2.4.1.216; trehalose 6-phosphate phosphorylase [EC:2.4.1.216]
K03732	194.381	rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]
K03733	749.544	xerC; integrase/recombinase XerC
K03734	932.143	apbE; FAD:protein FMN transferase [EC:2.7.1.180]
K03735	19.1435	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
K03736	13.2532	eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
K03737	303.842	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
K03739	209.597	dltB; membrane protein involved in D-alanine export
K11144	321.023	dnaI; primosomal protein DnaI
K11145	262.61	mrnC; mini-ribonuclease III [EC:3.1.26.-]
K02410	143.331	fliG; flagellar motor switch protein FliG
K02411	124.188	fliH; flagellar assembly protein FliH
K02412	256.229	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413	81.4828	fliJ; flagellar protein FliJ
K02414	53.9946	fliK; flagellar hook-length control protein FliK
K02415	101.117	fliL; flagellar protein FliL
K02416	140.386	fliM; flagellar motor switch protein FliM
K02417	148.731	fliN; flagellar motor switch protein FliN
K02418	81.9737	fliO, fliZ; flagellar protein FliO/FliZ
K02419	129.587	fliP; flagellar biosynthesis protein FliP
K13797	89.8274	rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]
K17680	36.3237	PEO1; twinkle protein [EC:5.6.2.3]
K03281	541.91	TC.CIC; chloride channel protein, CIC family
K03282	513.44	mscL; large conductance mechanosensitive channel
K03283	0	HSPA1s; heat shock 70kDa protein 1/2/6/8
K03284	628.792	corA; magnesium transporter
