#iTPM	TAXname	TAXid
98	Streptococcus suis	1307
23	Clostridioides difficile BI9	699032
4	Flavobacterium sp. N2013	2986828
12584	unclassified	0
2684	Lactococcus cremoris	1359
42	Streptococcus mitis B6	365659
25	Actinomyces oris K20	871541
15	Actinomyces sp. oral taxon 169	712116
3	Flavobacterium sp. N1719	2885633
13	Epsilonproteobacteria	3031852
1329	Clostridioides	1870884
11	cellular organisms	131567
109	Haemophilus haemolyticus	726
4	Peptoniphilaceae	1570339
3	Streptococcus rubneri	1234680
47	Porphyromonas gingivalis 381	1403335
0	unclassified Bacillus (in: firmicutes)	185979
16	Prevotellaceae	171552
16	Pasteurella multocida subsp. gallicida	123812
3	Streptococcus chenjunshii	2173853
1836	Lactobacillales	186826
63	unclassified Clostridioides	2635829
4	unclassified Myroides	2642485
0	Paenibacillus polymyxa	1406
9790	Haemophilus	724
66	Flavobacteriales	200644
0	Eubacterium maltosivorans	2041044
2	Myroides odoratimimus	76832
2223	Moraxella bovoculi	386891
83	Eubacteriales	186802
12	Flavobacterium sp. CJ74	2294119
1	Alistipes shahii WAL 8301	717959
14	Actinomyces naeslundii	1655
10	Neisseria sp. ZJ106	2912188
1	Psychroserpens sp. MSW6	2932268
0	Bathymodiolus thermophilus thioautotrophic gill symbiont	2360
9	Actinobacillus equuli subsp. equuli	202947
15	Flavobacterium album	2175091
3	Neisseria sicca ATCC 29256	547045
5	[Clostridium] colinum	36835
195	Flavobacterium	237
3	Flavobacterium sp. KK2020170	2830782
6	Sulfurovum	265570
4	Enterococcus	1350
13	Selenomonas	970
830	Mannheimia	75984
135	Bacteroidota	976
10	Pusillimonas sp. DMV24BSW_D	2716226
0	Campylobacter sp. CFSAN093224	2572074
5	Weeksella virosa DSM 16922	865938
5	Flavobacterium crocinum	2183896
8554	Campylobacter jejuni	197
1760	Porphyromonas asaccharolytica DSM 20707	879243
2	Haemophilus influenzae 10810	862964
3003	Actinomyces oris	544580
12	Glaesserella	2094023
5	Streptococcus anginosus subsp. whileyi MAS624	1353243
8	Robiginitalea biformata HTCC2501	313596
15	Streptococcus iniae	1346
5	Streptococcus sp. FDAARGOS_522	2420310
9	Salegentibacter	143222
3	Streptococcus merionis	400065
13	Carnobacterium sp. CP1	1564681
2976	Pasteurellaceae	712
14	Campylobacter peloridis	488546
0	Corynebacterium ulcerans	65058
15	Bacillaceae	186817
4	Betaproteobacteria	28216
3	Pasteurella canis	753
11845	Jeotgalibaca	1470540
949	Haemophilus influenzae 86-028NP	281310
2	Cellulophaga	104264
1	Streptococcus pyogenes HSC5	1336746
5	Elizabethkingia anophelis	1117645
577	Neisseria lactamica 020-06	489653
6	Actinomyces viscosus	1656
10	Campylobacter jejuni subsp. jejuni CG8421	478547
642	Streptococcus anginosus group	671232
7	Streptococcus cristatus	45634
3	Staphylococcus	1279
1	Actinobacillus suis	716
18	Neisseria shayeganii	607712
4	Fusarium musae	1042133
17	Streptococcus sp. oral taxon 061	712623
3020	Corynebacterium pseudotuberculosis	1719
5	Glaesserella parasuis D74	1275971
3	Streptococcus oralis Uo5	927666
7	Campylobacter lari subsp. concheus	488545
9	Clostridioides sp. ES-W-0016-02	2770788
3262	Neisseria gonorrhoeae	485
30	Carnobacterium viridans	174587
40	Pasteurella multocida subsp. multocida	44283
128362	Jeotgalibaca sp. PTS2502	1903686
729	Bacteroidales	171549
1583	Streptococcus intermedius	1338
14	Glaesserella parasuis SH0165	557723
6	Streptococcus ilei	1156431
7	Negativicutes	909932
4882	Selenomonas ruminantium subsp. lactilytica TAM6421	927704
6	Streptococcus sp. KS 6	2598457
12	Campylobacter jejuni subsp. jejuni F38011	1408176
29	Streptococcus parauberis NCFD 2020	873447
12	Streptococcus pyogenes MGAS9429	370551
4	Mannheimia varigena USDA-ARS-USMARC-1388	1434215
7	Campylobacter ornithocola	1848766
0	Undibacterium parvum	401471
2675	Actinobacillus equuli	718
0	Mannheimia granulomatis	85402
71	Corynebacterium	1716
21	Neisseria weixii	1853276
4	Myroides sp. ZB35	1458492
5	Campylobacter lari NCTC 11845	1388749
53	Campylobacter jejuni subsp. jejuni	32022
3	Streptococcus sp. 116-D4	2598453
20	Campylobacter cuniculorum	374106
937	Pseudomonadota	1224
1770	Streptococcus agalactiae ILRI005	1309807
2	Lactococcus piscium	1364
9	Haemophilus influenzae R2866	262728
647	Streptococcus equi	1336
5	Streptococcus pseudopneumoniae IS7493	1054460
