#S6	Level1	Level2	Level3	Level4
22.98540551538838	Genetic Information Processing	Replication and repair	Nucleotide excision repair	Nucleotide excision repair
29.299730100971434	Metabolism	Carbohydrate metabolism	Galactose metabolism	Galactose metabolism
21.831987391778625	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism
24.462689988926737	Metabolism	Global and overview maps	Metabolic pathways	Metabolic pathways
24.52739027014395	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	Biosynthesis of secondary metabolites
25.9515159288659	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Phosphotransferase system (PTS)
22.84174933962105	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism
28.39932817800058	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism
27.365917335431224	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	Quorum sensing
34.299620523855125	Genetic Information Processing	Folding, sorting and degradation	Protein export	Protein export
26.925840447483107	Environmental Information Processing	Membrane transport	Bacterial secretion system	Bacterial secretion system
31.033146251030175	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis
21.09193587627716	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance	Vancomycin resistance
25.218719711014675	Metabolism	Amino acid metabolism	Lysine biosynthesis	Lysine biosynthesis
22.140211020182615	Metabolism	Global and overview maps	Microbial metabolism in diverse environments	Microbial metabolism in diverse environments
26.09662548235962	Metabolism	Global and overview maps	Biosynthesis of amino acids	Biosynthesis of amino acids
26.871298378898132	Metabolism	Lipid metabolism	Fatty acid biosynthesis	Fatty acid biosynthesis
31.60806730018766	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	Biotin metabolism
25.569237189052707	Metabolism	Global and overview maps	Biosynthesis of cofactors	Biosynthesis of cofactors
24.632144242631767	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	Pyruvate metabolism
20.785324461627493	Metabolism	Carbohydrate metabolism	Propanoate metabolism	Propanoate metabolism
29.500288860278843	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis
26.534405977807445	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	Riboflavin metabolism
