#S1	Level1	Level2	Level3	Level4
23.040638857771473	Metabolism	Amino acid metabolism	Arginine and proline metabolism	Arginine and proline metabolism
24.509796720286786	Metabolism	Global and overview maps	Metabolic pathways	Metabolic pathways
23.751671379893043	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	Quorum sensing
22.491183462216537	Environmental Information Processing	Membrane transport	ABC transporters	ABC transporters
24.892359169377247	Metabolism	Amino acid metabolism	Arginine biosynthesis	Arginine biosynthesis
24.02016773886358	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	Biosynthesis of secondary metabolites
22.370593922201092	Metabolism	Global and overview maps	Biosynthesis of amino acids	Biosynthesis of amino acids
20.619799162897984	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis
24.964288007483894	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	Pyruvate metabolism
26.446562796148495	Metabolism	Carbohydrate metabolism	Propanoate metabolism	Propanoate metabolism
27.141592384521065	Metabolism	Global and overview maps	Microbial metabolism in diverse environments	Microbial metabolism in diverse environments
17.86930840883038	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	Peptidoglycan biosynthesis
20.892774922820454	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	beta-Lactam resistance
22.920216446385446	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism
29.941459927097572	Metabolism	Energy metabolism	Nitrogen metabolism	Nitrogen metabolism
29.235941800604216	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism
22.427352223137664	Genetic Information Processing	Replication and repair	DNA replication	DNA replication
24.014151589777008	Genetic Information Processing	Replication and repair	Base excision repair	Base excision repair
19.433274753953377	Genetic Information Processing	Replication and repair	Nucleotide excision repair	Nucleotide excision repair
21.179823157778042	Genetic Information Processing	Replication and repair	Mismatch repair	Mismatch repair
33.853213227220515	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation	Benzoate degradation
26.734975505204073	Metabolism	Carbohydrate metabolism	Butanoate metabolism	Butanoate metabolism
